alibaba/anyproxy,http://github.com/alibaba/anyproxy,b93f948,Sun Sep  4 20:02:05 CDT 2022,npx jest,1,173
UXPin/adele,https://github.com/UXPin/adele,8f93337,Sun Sep  4 20:01:37 CDT 2022,jest,1,193
Armour/vue-typescript-admin-template,http://github.com/Armour/vue-typescript-admin-template,bff1343,Sun Sep  4 20:15:03 CDT 2022,cross-env BABEL_ENV=test jest,1,195
asseinfo/react-kanban,http://github.com/asseinfo/react-kanban,9e0c9c8,Sun Sep  4 20:12:58 CDT 2022,jest,1,204
adazzle/react-data-grid,http://github.com/adazzle/react-data-grid,f95c7e25,Sun Sep  4 20:12:18 CDT 2022,jest,1,213
auth0/lock,https://github.com/auth0/lock,6ce1355b,Sun Sep  4 20:10:24 CDT 2022,jest --coverage --runInBand,0,241
pivotal-cf/pivotal-ui,https://github.com/pivotal-cf/pivotal-ui,65f68b4d,Sun Sep  4 20:11:17 CDT 2022,jest,1,260
apify/apify-js,http://github.com/apify/apify-js,c70fdd66,Sun Sep  4 20:02:09 CDT 2022,jest --silent,1,328
aws/aws-cdk,http://github.com/aws/aws-cdk,86fcd4f20,Sun Sep  4 20:03:04 CDT 2022,jest,1,461
sheinsight/shineout,https://github.com/sheinsight/shineout,04bf2e3f,Sun Sep  4 20:13:46 CDT 2022,cross-env NODE_ENV=test jest --config jest.config.js,1,513
atlassian/react-beautiful-dnd,http://github.com/atlassian/react-beautiful-dnd,1a380855,Sun Sep  4 20:12:02 CDT 2022,jest --config ./jest.config.js,1,675
algolia/algoliasearch-client-javascript,http://github.com/algolia/algoliasearch-client-javascript,b906cbf0,Sun Sep  4 20:01:45 CDT 2022,jest --env node --coverage --no-cache,1,1041
