package,start time,end time,commitNum,jest,jasmine,mocha,karma,test command
generator-nm,1659477422,1659477425,f531a25,0,0,0,0,^2.0.0
feather-app,1659477425,1659477426,b4a0191,0,0,0,0,^2.0.0
dawson-cli,1659477426,1659477430,e93dd6e,1,0,0,0,npm run lint && nyc ava src/**/*.spec.js
webpack-bin,1659477430,1659477436,97c9dfe,0,0,0,0,npm run lint && nyc ava src/**/*.spec.js
mdx-util,1659477436,1659477439,bf1e887,0,0,0,0,lerna run --parallel test
qwest,1659477440,1659477443,9cf12bb,0,0,0,0,lerna run --parallel test
dext,1659477443,1659477458,50713d8,1,0,0,0,jest --coverage --verbose
loud-links,1659477458,1659477460,7b4b710,0,0,0,0,jest --coverage --verbose
grunt-angular-templates,1659477460,1659477463,f590764,0,0,0,0,./node_modules/.bin/grunt
sagui,1659477463,1659477471,08f70b0,0,1,1,1,npm run test:lint && npm run test:unit && npm run test:integration
scrolldir,1659477471,1659477474,fe6a0e5,0,0,0,0,npm run test:acceptance && npm run test:es-check
router,1659477474,1659477484,f642b4c,0,1,0,1,npm run test:acceptance && npm run test:es-check
IronJS,1659477485,1659477637,92e28851,0,0,0,0,npm run test:acceptance && npm run test:es-check
jupyter-nodejs,1659477650,1659477651,1388e19,0,0,0,0,echo \
jPages,1659477651,1659477654,b6a51c9,0,0,0,0,echo \
dialogflow-nodejs-client,1659477655,1659477657,1abd5f1,0,0,0,0,echo \
elasticsearch-paramedic,1659477658,1659477659,0c8df16,0,0,0,0,echo \
tmodjs,1659477659,1659477662,ec6c6e0,0,0,0,0,tmod ./test/tpl
moreartyjs,1659477663,1659477666,297dfd7,0,0,1,0,mocha -b -R spec test/*
through,1659477666,1659477668,2c5a6f9,0,0,0,0,set -e; for t in test/*.js; do node $t; done
IDBWrapper,1659477668,1659477671,f7e23b1,0,0,1,1,set -e; for t in test/*.js; do node $t; done
cssbeautify,1659477671,1659477673,4a1f5d8,0,0,0,0,node test/runner.js
jquery.complexify.js,1659477673,1659477674,002bd59,0,0,0,0,node test/runner.js
vue-spa-template,1659477674,1659477676,1eabfbb,0,0,1,1,npm run unit && npm run e2e
audiolib.js,1659477676,1659477679,12664f8,0,0,0,0,npm run unit && npm run e2e
react-starterify,1659477679,1659477682,8fb0eb2,0,0,0,0,ava --tap | tap-nyan
insignia,1659477682,1659477683,5367b55,0,0,0,0,ava --tap | tap-nyan
JVFloat.js,1659477683,1659477685,e8569fb,0,0,0,0,ava --tap | tap-nyan
JavaScriptTraining,1659477685,1659477687,0745140,0,0,0,0,ava --tap | tap-nyan
multithread.js,1659477687,1659477690,7afd43b,0,0,0,0,ava --tap | tap-nyan
angular-localForage,1659477690,1659477692,00b3116,0,1,0,1,karma start ./karma.conf.js --browsers=\
ng-stats,1659477692,1659477695,496593c,0,0,1,1,COVERAGE=true NODE_ENV=test karma start
github-widget,1659477695,1659477696,57ac715,0,0,0,0,echo \
trolol,1659477696,1659477698,256c328,0,0,0,0,echo \
webpack-simple-starter,1659477698,1659477700,764ebea,0,0,0,0,echo \
elastic.js,1659477700,1659477704,b29b7d2,0,0,0,0,grunt nodeunit
angular-google-analytics,1659477705,1659477707,ee5c494,0,1,0,1,karma start test/karma.conf.js --single-run --browsers Chrome
react-bluekit,1659477707,1659477710,6f56991,0,0,1,0,mocha --compilers js:babel/register --recursive
data,1659477711,1659477715,35624a2,0,0,1,0,mocha -R spec tests/run.js
nodejs-starter,1659477715,1659477717,ae5c9d5,0,0,0,0,mocha -R spec tests/run.js
norch,1659477717,1659477721,a800566,0,0,0,0,rm -rf test/sandbox && mkdir test/sandbox && date && tape test/*test.js && npm run test-cli && npm run test-browser && standard --fix
A-Tale-Of-Three-Lists,1659477721,1659477725,9853898,0,0,0,0,rm -rf test/sandbox && mkdir test/sandbox && date && tape test/*test.js && npm run test-cli && npm run test-browser && standard --fix
mobifyjs,1659477726,1659477739,4a4ff8a,0,0,0,0,rm -rf test/sandbox && mkdir test/sandbox && date && tape test/*test.js && npm run test-cli && npm run test-browser && standard --fix
baucis,1659477739,1659477743,1153cf0,0,0,1,0,./node_modules/.bin/mocha --bail
velocity,1659477743,1659477747,0169f31,0,0,0,0,./node_modules/.bin/mocha --bail
rrtr,1659477747,1659477754,a8c86d0,0,0,1,1,npm run lint && npm run test-node && npm run test-browser
mass-Framework,1659477755,1659477770,a0b0ee7,0,0,0,0,npm run lint && npm run test-node && npm run test-browser
js2js,1659477771,1659477773,e9c18f3,0,0,0,0,npm run lint && npm run test-node && npm run test-browser
redux-async-connect,1659477773,1659477775,7d273f0,0,0,1,1,npm run lint && karma start
ionic-datepicker,1659477775,1659477777,bc9d8e4,0,0,0,0,npm run lint && karma start
lightningjs,1659477777,1659477780,b7edc73,0,0,0,0,npm run lint && karma start
jInvertScroll,1659477780,1659477782,3a15c2d,0,0,0,0,npm run lint && karma start
ep,1659477782,1659477784,1100d93,0,0,0,0,make test
react-notification,1659477785,1659477787,dfd79ac,0,0,1,0,node_modules/.bin/mocha --compilers js:babel-core/register --reporter spec --recursive --timeout 5000 test/setup.js test/**/*.js
isparta,1659477787,1659477789,af82484,0,0,1,1,mocha
react-contextual,1659477789,1659477792,2f4bec2,1,0,0,0,jest
holla,1659477792,1659477795,18f1018,0,0,1,0,jest
map-chat,1659477795,1659477797,fd78c08,0,0,0,0,jest
react-immutable-proptypes,1659477797,1659477799,b2c415d,0,0,1,0,./scripts/test
